,House Name,House Price,Posted Date,About House,Map Address
175,"Washer, Volleyball Court, Outdoor Lanai with Fireplace, Fitness Center","$1,691",2022-08-08 11:47,/ 1br - 840ft2 -,10695 Dean Martin Drive
176,Your New Home Awaits // PET FRIENDLY & GREAT DEALS,$964,2022-08-08 11:47,/ 440ft2 -,
177,2 BEDS DOWN *****N JONES AND 215*****,"$2,875",2022-08-08 11:47,/ 6br - 3368ft2 -,
178,Charming 4-bedroom home.,"$1,990",2022-08-08 11:34,/ 4br - 2151ft2 -,
179,Price Reduction! Fantastic Home For Sale In Las Vegas,,2022-08-08 11:35,4br - 3050ft2 -,
180,REDUCED 3 bed/2 bath- SENIOR PARK- Doublewide Mobile Home (Space #433),"$1,250",2022-07-25 11:47,/ 3br - 1000ft2 -,3601 E Wyoming Ave
181,"Laundry facilities, Easy freeway access, No long term lease required",$325,2022-08-06 11:23,/ 1br -,3625 Boulder Highway
182,GORGEOUS SUMMERLIN PROPERTIES,"$2,595",2022-07-27 09:59,/ 4br -,
183,SUMMERLIN HOME FULL OF UPGRADES,"$3,195",2022-07-15 10:26,/ 3br -,
184,****** N 215 AND DECATUR,"$444,000",2022-08-08 11:43,/ 3br - 1551ft2 -,
185,"Oversized closets, Polished kitchen countertops, Mountain views","$1,731",2022-08-08 11:43,/ 3br - 1197ft2 -,501 E Lake Mead Pkwy
186,Americana Apartments near Las Vegas strip !,,2022-08-08 11:43,1br - 417ft2 -,335 E Harmon Ave. near Paradise and Harmon
187,Room in Summerlin Home For Rent,$800,2022-08-08 11:41,,Sickle ln near Vegas & Durango
188,It’s time to invest in yourself by investing in your home!!,"$1,847",2022-07-15 13:48,/ 1br - 779ft2 -,7350 W Centennial Pkwy
189,"Package lockers, mountain views, covered parking","$1,860",2022-08-08 09:47,/ 2br - 1014ft2 -,9350 S. Cimarron Road
190,Near By the Famous Las Vegas Strip !,,2022-08-08 11:43,1br - 417ft2 -,335 E Harmon Ave. near Paradise and Harmon
191,"Full-Sized Washers and Dryers, Premium Flooring*, Amazon Hub Lockers","$1,660",2022-08-08 11:37,/ 1br - 793ft2 -,8350 West Desert Inn Road
192,Roommate Condo 🏡For Rent Private Room safe clean utilities,$580,2022-08-08 11:42,,
193,******* SUMMERLIN PKWY AND BUFFALO,"$1,500",2022-07-18 13:31,/ 2br - 908ft2 -,
194,Single Story Home w/2 Car Garage in Gated Community. Open Floor Plan.,"$1,895",2022-08-02 15:26,/ 3br - 1700ft2 -,
195,"Move in Special!!!! 1/2 off 1st months rent, Make Hesperian Your Home!","$1,075",2022-08-08 11:42,/ 1br - 680ft2 -,
196,Very Nice 2 Story w/Huge Loft! Master is on 1st Floor. Gated Community,"$2,000",2022-08-02 12:47,/ 3br - 2142ft2 -,
197,"Freshly Painted 4 Bedrm, 2 Story Home in Green Valley. New Blinds.","$2,295",2022-07-29 16:20,/ 4br - 1878ft2 -,
198,RETAIL SPACE AVAILABLE FOR LEASE!  BORDER LINE SUMMERLIN!!,"$1,975",2022-08-08 11:45,/ 1140ft2 -,8221 W. Charleston Blvd near Cimarron Rd.
199,Classic & Renovated Apartments Ready for Immediate Move In,$875,2022-08-08 11:41,/ 375ft2 -,370 E Harmon Ave
200,"Brand New, Never Lived in! Beautifully Decorated & Furnished.","$4,000",2022-07-20 15:23,/ 3br - 1780ft2 -,
201,"Fully Renovated 4 Bedrm Home on Large Lot. New windows, Fresh Paint.","$2,975",2022-07-28 12:35,/ 4br - 1680ft2 -,
202,"Covered parking, EV charging stations, package lockers","$1,431",2022-08-08 09:48,/ 1br - 771ft2 -,9350 S. Cimarron Road
203,"Clothes Care Center, Non-Smoking, $500 off until Aug 15th!",$975,2022-07-24 15:36,/ 1br - 450ft2 -,370 E Harmon Ave
204,"Move in Special!!!! 1/2 off 1st months rent, Make Hesperian Your Home!","$1,075",2022-08-08 11:40,/ 1br - 680ft2 -,
205,Cozy up in your new home here at Calypso,"$1,525",2022-08-08 11:40,/ 2br - 1146ft2 -,6501 Vegas Dr.
206,"Move in Special!!!! 1/2 off 1st months rent, Make Hesperian Your Home!","$1,075",2022-08-08 11:39,/ 1br - 680ft2 -,
207,"Large Very Nice Room for Single Female, Available Now!!",$390,2022-08-08 10:38,,
208,2 Beds X 2 Baths | In-unit Washer + Dryer | 24HR Security,"$1,480",2022-08-08 11:38,/ 2br - 860ft2 -,
209,Private room and bath,$600,2022-08-08 11:38,/ 1br -,
210,The Vik Apartments-Pet Friendly,"$1,699",2022-08-04 09:01,/ 2br -,
211,Beautiful 2x2 come and apply today!!,"$1,599",2022-08-05 09:22,/ 2br -,
212,***WANTED HOUSES WITH NO EQUITY AND CANNOT SELL WITH AGENT *** (Las Ve,,2022-08-08 11:15,,
213,"First Floor, Cross Fitness Center, Accent Tile Backsplash","$1,490",2022-07-17 09:11,/ 1br - 814ft2 -,6500 Vegas Drive
214,OFFICE SPACE AVAILABLE AT $350-FULLY FURNISHED!,$300,2022-08-08 11:40,,2350 South Jones near Sahara ave
215,5x10 Air Cooled -Only 1 Left!,,2022-07-27 09:40,,6380 Annie Oakley Dr near Annie Oakley & Sunset
216,Bottom Floor Units Available! 50% off,,2022-07-19 12:13,,6380 Annie Oakley Dr near Sunset & Annie Oakley
217,The living is easy ANYTIME & the deals are great NOW.,$897,2022-08-08 11:34,/ 465ft2 -,
218,"Mountain views, covered parking, spacious 1 bedroom","$1,446",2022-08-08 09:39,/ 1br - 764ft2 -,9350 S. Cimarron Road
219,"Easy Freeway Access, Gated Community, Refinished Countertop","$1,964",2022-08-08 11:22,/ 3br - 1224ft2 -,1050 Whitney Ranch Drive
220,We Are Taking SCHEDULED Tours!,"$1,099",2022-08-08 11:33,/ 1br - 600ft2 -,5055 Jeffreys St
221,RESTAURANT BUILD OUT-PIZZA-HOOD+GREASE TRAP+EQUIPTMENT & FREE RENT!,"$2,975",2022-08-08 11:37,/ 1140ft2 -,8221 W. Charleston Blvd near Cimarron Rd.
222,Im renting out a room short term or more,,2022-07-31 18:33,,
223,I need to rent out a room short term,,2022-07-31 18:27,,
224,$1500 OFF Move In!!!! Call Today!!!! Renovated Units!!!!,"$1,576",2022-08-04 10:27,/ 2br - 973ft2 -,501 E Lake Mead Pkwy
225,"Renovated Spacious Unit, Stainless Steel, On-site Management, Pool/Spa","$1,360",2022-08-02 15:35,/ 2br - 900ft2 -,4020 S Arville St
226,"Sparkling swimming pool, No long term lease required, Wi-Fi Included",$432,2022-08-08 11:32,/ 390ft2 -,5011 East Craig Road
227,"Covered parking, package lockers, mountain views","$1,474",2022-08-08 09:47,/ 1br - 801ft2 -,9350 S. Cimarron Road
228,"Designer selected lighting fixtures, Walk-in closets, Short Term Lease","$1,445",2022-08-06 10:08,/ 2br - 1128ft2 -,3875 Cambridge St
229,Charming Gorgeous 2 bedroom 1 bathroom for Rent,$560,2022-08-03 09:31,/ 1br -,
230,$55 / 100ft2 - Chair RENTAL for PMU/Lash Artist in Las Vegas,$55,2022-08-08 11:30,/ 100ft2 -,7355 S Buffalo Dr Suite #20 near 89104
231,📹 24 HOUR SURVEILLANCE!👮‍♂️ 24 HOUR SECURITY,$450,2022-08-08 11:11,/ 1br - 384ft2 -,4625 BOULDER HWY near BOULDER HWY & INDIOS
232,"Wood-Style Flooring, Dishwasher, Pet Wash Station","$2,135",2022-08-02 10:24,/ 3br - 1390ft2 -,1005 Wigwam Pkwy
233,"*Rent-to-Own, No Banks or Credit Required!*","$469,900",2022-07-14 08:10,/ 3br - 1741ft2 -,1870 Racine Drive
234,2x2 Very Spacious,"$1,599",2022-08-05 09:28,/ 2br -,
235,Must see Anthem 1-story Luxury home w/CASITA & Tropical POOL Oasis,"$700,000",2022-07-22 08:59,/ 4br - 2333ft2 -,Bicentennial near Anthem Highlands Dr
236,"Full kitchen, Sparkling swimming pool, Bad Credit OK",$268,2022-07-30 13:18,/ 1br -,600 East Bonanza Road
237,"Siegel Rewards Program, No long term lease required, Bad Credit Ok",$268,2022-08-08 11:25,/ 1br -,600 East Bonanza Road
238,1 BEDROOM AVAILABLE ! CALL TODAY !,"$1,500",2022-08-08 11:25,/ 1br - 866ft2 -,
239,"Guard-gated 2,600 Sqft 1-story Luxury Home ***Sparkling POOL & SPA***","$3,650",2022-07-15 10:58,/ 3br - 2615ft2 -,Eastern Ave near Anthem Pkwy
240,"Wood-Style Flooring, Dishwasher, Pet Wash Station","$2,135",2022-08-02 10:24,/ 3br - 1390ft2 -,1005 Wigwam Pkwy
241,"*Rent-to-Own, No Banks or Credit Required!*","$469,900",2022-07-14 08:10,/ 3br - 1741ft2 -,1870 Racine Drive
242,2x2 Very Spacious,"$1,599",2022-08-05 09:28,/ 2br -,
243,Must see Anthem 1-story Luxury home w/CASITA & Tropical POOL Oasis,"$700,000",2022-07-22 08:59,/ 4br - 2333ft2 -,Bicentennial near Anthem Highlands Dr
244,"Full kitchen, Sparkling swimming pool, Bad Credit OK",$268,2022-07-30 13:18,/ 1br -,600 East Bonanza Road
245,"Siegel Rewards Program, No long term lease required, Bad Credit Ok",$268,2022-08-08 11:25,/ 1br -,600 East Bonanza Road
246,1 BEDROOM AVAILABLE ! CALL TODAY !,"$1,500",2022-08-08 11:25,/ 1br - 866ft2 -,
247,"Guard-gated 2,600 Sqft 1-story Luxury Home ***Sparkling POOL & SPA***","$3,650",2022-07-15 10:58,/ 3br - 2615ft2 -,Eastern Ave near Anthem Pkwy
248,"No Credit Checks, Close to Strip, Cable and WiFi Included",$343,2022-08-01 14:23,/ 1br -,455 East Twain Avenue
249,Beautiful 2-bed/2-bath Luxury Condo with All Wood & Tile flooring,"$1,850",2022-07-19 08:32,/ 2br - 1087ft2 -,Las Vegas Blvd near Serene
250,"Gated Community, WiFi Ready Home with Pre-Installed Modem","$1,548",2022-08-08 11:24,/ 1br - 748ft2 -,1827 West Gowan Road
251,Gorgeous SoHo style CUSTOM Luxury LOFT Penthouse on the South Strip,"$475,000",2022-07-18 20:28,/ 1br - 1370ft2 -,Las Vegas Blvd near Serene
252,❤BOW WOW WOW! WE'RE PET FRIENDLY!,"$1,800",2022-08-08 11:24,/ 2br - 1105ft2 -,225 South Stephanie Street
253,"Fabulous 2,700+ Sqft 4-Bedroom House with Bonus Loft & Upgrades","$2,650",2022-07-30 08:20,/ 4br - 2730ft2 -,St.Rose Pkwy near Maryland Pkwy
254,🏠BECOME PART OF OUR NEIGHBORHOOD!! 🐶PETS WELCOME!😺,$450,2022-08-08 11:11,/ 1br - 384ft2 -,4625 BOULDER HWY near BOULDER HWY & INDIOS
255,IMPRESSIVE APARTMENT HOMES IN GREAT LOCATION!,"$1,500",2022-08-08 11:24,/ 1br - 866ft2 -,225 S. Stephanie Street near Horizon Ridge
256,🏠BECOME PART OF OUR NEIGHBORHOOD!! 🐶PETS WELCOME!😺,$450,2022-08-08 11:11,/ 1br - 384ft2 -,4625 BOULDER HWY near BOULDER HWY & INDIOS
257,The Vik Apartments-Pet Friendly,"$1,699",2022-08-04 09:25,/ 2br -,
258,Affordable Housing At It's Best 55 + Community,"$1,036",2022-08-08 11:17,/ 2br - 713ft2 -,845 Seven Hills Dr
259,"New Concept In Off Roading - 1.25 acres in Holbrook, AZ",,2022-08-04 12:00,,
260,"Beautiful 1,900+ Sqft 1-story House in Anthem w/Upgrades & Appliances","$524,999",2022-08-08 11:23,/ 3br - 1928ft2 -,Anthem Highlands Dr near Democracy
261,🏠BECOME PART OF OUR NEIGHBORHOOD!! 🐶PETS WELCOME!😺,$450,2022-08-08 11:09,/ 1br - 384ft2 -,4625 BOULDER HWY near BOULDER HWY & INDIOS
262,Large units right near down town main strip!! WIFI HBO !!!,$371,2022-08-08 11:22,,220 Convention Center Drive
263,1x1 - Available For You!,"$1,500",2022-08-08 11:22,/ 1br - 866ft2 -,225 South Stephanie Street
264,❤5 STAR SCHOOLS - 24 HOUR MAINTENANCE - 24 HOUR GYM/POOL/RACQUETBALL,"$1,800",2022-08-08 11:22,/ 2br - 1150ft2 -,225 South Stephanie Street near Arroyo Grande
265,"Vaulted ceilings, Breakfast bar and built-in wine rack, Built-in desk","$1,435",2022-08-03 16:25,/ 2br - 1087ft2 -,6765 Tulip Falls Dr
266,"Ceiling Fans, Dishwasher, Bocce Ball Courts","$1,734",2022-07-17 12:05,/ 1br - 851ft2 -,5175 Jerry Tarkanian Way
267,Female Bed in Coed Sober Living House,$175,2022-08-08 11:22,/ 7br - 3236ft2 -,3614 Spencer St near Flamingo
268,RETAIL SPACE AVAILABLE FOR LEASE ON FLAMINGO AND DECATUR!,"$2,975",2022-08-08 11:25,/ 1200ft2 -,4850 W. Flamingo Rd. near Decatur Blvd.
269,Modern-living!! Plant yourself here at Fifty-Seven 95 Flamingo! 🌿,"$1,650",2022-08-06 10:43,/ 2br - 1200ft2 -,5795 W Flamingo Rd #101 near Jones Blvd
270,Room for Rent!!!,$590,2022-08-08 10:49,,
271,Amazing Home,"$2,500",2022-08-08 11:04,/ 2br - 2410ft2 -,601 Summer Mesa Dr
272,Weekly Rentals Available Now,$443,2022-08-08 11:19,/ 1br -,3825 S Cambridge St. near Twain
273,*****No Social Security Number?******/*,,2022-08-08 11:07,,
274,"A Block from Las Vegas Strip, Controlled Access Gates, Hardwood Floors","$1,600",2022-08-06 11:06,/ 2br - 997ft2 -,3550 Paradise Road
275,"Spanish Speaking Staff /  Personal que habla espanol, Playground, Spa","$1,565",2022-07-30 15:32,/ 2br - 1075ft2 -,4521 East Bonanza Rd
276,🏠BECOME PART OF OUR NEIGHBORHOOD!! 🐶PETS WELCOME!😺,$450,2022-08-08 11:10,/ 1br - 384ft2 -,4625 BOULDER HWY near BOULDER HWY & INDIOS
277,"spacious 1 bedroom, mountain views, EV charging stations","$1,491",2022-08-08 09:47,/ 1br - 872ft2 -,9350 S. Cimarron Road
278,Welcome To Rancho Alvarado Apartments,$995,2022-08-08 09:45,/ 1br -,
279,Spacious 1 Bedroom 1 Bath! Apply Now!,"$1,210",2022-07-20 11:46,/ 1br - 680ft2 -,2900 El Camino Ave
280,AFFORDABLE LIVING!! $925 1 BEDROOM APARTMENT!,$925,2022-08-08 11:02,/ 1br - 525ft2 -,711 E Nelson Ave near Donna and Carey
281,"Coffee Café, Gated Community, Playground","$1,654",2022-08-06 10:26,/ 1br - 836ft2 -,6355 S. Durango Dr
282,Come today and find your home!,"$1,599",2022-07-26 13:43,/ 2br - 1060ft2 -,
283,"Mountain Views, Free WiFi Access in Common Areas, EV Charging Station","$1,860",2022-08-08 09:32,/ 2br - 914ft2 -,9350 S. Cimarron Road
284,Make the move to Mojave Flats! $1000 Off move in!,"$1,509",2022-08-08 11:15,/ 1br - 688ft2 -,2666 S Decatur Blvd
285,MEZZO APARTMENTS *STUDIO*,$899,2022-08-08 11:15,/ 375ft2 -,3770 University Center Dr near Twain
286,SELL YOUR HOUSE OR APARTMENT BUILDING,,2022-08-08 11:15,,
287,2 BEDROOM APARTMENT! MOVE IN SPECIAL!,"$1,200",2022-08-08 11:02,/ 2br - 756ft2 -,711 E Nelson Ave near Donna and Carey
288,SELL YOUR HOUSE OR APARTMENT BUILDING,,2022-08-08 11:14,,
289,"1BD 1BA, Oversized walk-in closets, Situated in Henderson!","$1,418",2022-08-08 11:14,/ 1br - 702ft2 -,2001 Ramrod Ave
290,COZY 2 BEDROOM APARTMENT! MOVE IN SPECIAL!,"$1,200",2022-08-08 11:06,/ 2br - 756ft2 -,711 E Nelson Ave near Donna and Carey
291,3 Bedroom Apartment AVAILABLE NOW!!,"$1,350",2022-08-08 11:06,/ 3br - 798ft2 -,711 E Nelson Ave near Donna and Carey
292,"Full kitchen in apartment, Unfurnished apartments, Laundry facilities",$325,2022-08-08 11:13,/ 1br -,3625 Boulder Highway
293,Unbeatable Location!  Call Today,"$1,500",2022-08-08 11:13,/ 2br - 950ft2 -,2051 N Torrey Pines Dr near Lake Mead
294,0.31 acres with Great Community*,,2022-07-13 11:29,,
295,Renovated Apartments Ready for Immediate Move In,"$1,100",2022-08-08 11:12,/ 1br - 450ft2 -,370 E Harmon Ave
296,No Qual Summit,"$16,789,999",2022-08-08 11:12,/ 5br - 7500ft2 -,
297,Fabulous price!,"$1,019",2022-07-20 07:47,/ 2br - 721ft2 -,
298,Great Location!,"$1,510",2022-08-04 09:56,/ 1br - 801ft2 -,9350 S. Cimarron Road
299,"NO QUAL, GREEN VALLEY",,2022-08-08 11:11,,
300,room for rent,$650,2022-07-20 10:35,/ 1br -,
301,NO QUAL SOUTHERN HIGHLANDS GOLF CLUB,"$1,699,999",2022-08-08 11:10,,
302,Looking for a cool female roommate,$650,2022-07-29 14:41,,
303,Beautiful open kitchen,"$1,540",2022-08-06 10:01,/ 2br - 946ft2 -,2001 Ramrod Ave
304,Your Future Home Awaits YOU! Schedule a Tour! CALL US TODAY !!,"$1,275",2022-08-08 11:10,/ 2br - 1010ft2 -,939 E Flamingo Rd
305,"NO QUAL, GREEN VALLEY",,2022-08-08 11:10,,
306,Terrific Apartment!,"$1,019",2022-07-19 07:50,/ 2br - 721ft2 -,
307,STAY WHERE YOU ARE APPRECIATED !,$313,2022-08-03 08:33,/ 1br -,2000 Paradise Road
308,Move-in By Aug 31st for $500 Off ! Come Visit Our Renovated Units!,"$1,150",2022-08-08 11:09,/ 2br - 840ft2 -,4020 S Arville St
309,"Mountain views, spacious 2 bedroom, EV charging stations","$1,860",2022-08-08 09:32,/ 2br - 1014ft2 -,9350 S. Cimarron Road
310,"NO QUAL, GREEN VALLEY",,2022-08-08 11:09,,
311,"2 BEDROOMS NEWLY RENOVATED IN ""NEW"" NORTH LAS VEGAS!!","$1,135",2022-08-03 14:48,/ 2br - 880ft2 -,3301 Civic Center Dr Unit 3B near Cheyenne and Civic Center
312,"EV charging stations, mountain views, covered parking","$1,491",2022-08-08 09:33,/ 1br - 872ft2 -,9350 S. Cimarron Road
313,Convenient low rent location,"$1,019",2022-07-15 07:49,/ 2br - 721ft2 -,
314,"I have an extra bedroom for rent in southwest Las Vegas,",$800,2022-07-30 09:55,,
315,"Mountain views, EV charging stations, spacious 1 bedroom","$1,480",2022-08-08 09:23,/ 1br - 762ft2 -,9350 S. Cimarron Road
316,Summerlin house rents a room. Great area and excellent neighborhood.,$470,2022-07-30 09:55,,
317,******Lovley North Valley Home*******,,2022-08-08 11:06,3br - 1986ft2 -,
318,Under New Management Move in Specials,$875,2022-08-04 10:19,/ 375ft2 -,370 E Harmon Ave
319,The Epicenter of Luxury and Convenience!!!,"$1,847",2022-07-14 16:55,/ 1br - 779ft2 -,7350 W Centennial Pkwy
320,~*~*~*~*~*BEAUTIFUL RENOVATIONS - 1 BEDROOM FOR YOU ~*~*~*~*~*,$975,2022-07-26 12:52,/ 1br - 660ft2 -,3301 CIVIC CENTER DRIVE # 3-B near CHEYENNE BLVD.
321,"Waive $300 admin fee, must move in w/in 7 days","$1,683",2022-08-04 11:14,/ 2br - 1115ft2 -,6500 Vegas Drive
322,Welcome To Rancho Alvarado Apartments,$995,2022-08-08 09:42,/ 1br -,
323,"Mountain Views, Package Locker Room, Covered Parking Available","$1,895",2022-08-08 09:40,/ 2br - 1166ft2 -,9350 S. Cimarron Road
324,Welcome To Rancho Alvarado Apartments,$995,2022-08-08 10:00,/ 1br -,
325,Looking for a woman to share my room,,2022-08-08 10:50,,
326,"Bad Credit Ok, Rent by the week or month, Full kitchen in apartment",$454,2022-07-31 08:59,,5230 East Craig Road
327,1X1 Unit With Large Walk-In Closet!,"$1,016",2022-08-03 07:56,/ 1br -,4371 Sirius Ave. near Arville St.
328,2x2 Very Spacious,"$1,699",2022-08-05 09:18,/ 2br -,
329,"Elevators, Covered Assigned Parking, Vanity",$975,2022-07-18 15:18,/ 450ft2 -,3550 Paradise Road
330,SELL YOUR HOUSE OR APARTMENT BUILDING,,2022-08-08 10:42,,
331,PreLease 2x2 For 10/10! 2x2 Townhome w/1 car garage attached,"$1,969",2022-08-08 11:02,/ 2br - 1034ft2 -,
332,"Condo for sale. Asking $125,000","$125,000",2022-08-08 10:54,/ 2br -,
333,Wow Rent our 2x2Spacious! Washer and Dryer in the Unit,"$1,700",2022-07-09 16:25,/ 2br - 1060ft2 -,
334,"arge, furnished apartment, pretty neighborhood, private bed, bath",$500,2022-08-08 10:53,,
335,Stop today and tour a 2x2,"$1,650",2022-07-09 16:24,/ 2br - 1060ft2 -,
336,3 BEDROOMS NEWLY RENOVATED COMING SOON!!,"$1,265",2022-08-02 08:59,/ 3br - 1100ft2 -,3301 Civic Center Dr Unit 3B near Cheyenne and Civic Center
337,YOU WILL BE OVER THE MOON WHEN YOU SEE OUR NEW RENOVATED HOMES!!,$970,2022-08-02 08:57,/ 1br - 660ft2 -,3301 Civic Center Dr Unit 3B near Cheyenne and Civic Center
338,Your Home is here!!! :):),"$1,599",2022-08-03 10:44,/ 2br - 1060ft2 -,
339,"9-foot ceilings, Alarm system pre-wired, Basketball court","$1,446",2022-08-06 10:20,/ 1br - 717ft2 -,9155 West Desert Inn Road
340,DO NOT LOOK PAST THIS 2 BEDROOM APARTMENT!,"$1,150",2022-08-08 10:59,/ 2br - 830ft2 -,2816 Kim Lane near Las Vegas Blvd & Kim
341,CALL AND TOUR TODAY!!,"$1,150",2022-08-08 10:59,/ 2br - 830ft2 -,2816 Kim Lane near Las Vegas Blvd & Kim
342,NO LEASE! COME LIVE WITH US! BUDGET SUITES OF AMERICA,$339,2022-08-08 10:59,/ 1br -,3655 W. Tropicana near VALLEY VIEW
343,2x2 Very Spacious,"$1,699",2022-08-04 08:57,/ 2br -,
344,SUPER SPECIAL!! $500. OFF 1'ST MONTH'S RENT!! DON'T MISS OUT!!,"$1,750",2022-08-06 10:33,/ 2br - 1018ft2 -,9145 Echelon Point Drive
345,*/**2 Bedroom apartments are designed for ease and comfort!!!,"$1,200",2022-08-08 10:58,/ 2br -,2881 N Rancho Dr
346,"Washer/Dryer, Playground, Cable Ready","$1,860",2022-07-29 09:36,/ 3br - 1200ft2 -,5225 E. Charleston Blvd
347,Lovely 2 Bedroom...Waiting for you to make it your home,"$1,699",2022-08-04 09:34,/ 2br -,
348,UPGRADED 2 BED 2 BATH APARTMENT!! AVAILABLE NOW!!,"$1,250",2022-08-08 10:57,/ 2br - 830ft2 -,2816 Kim Lane near Las Vegas Blvd & Kim
349,UPGRADED 2 BED 2 BATH APARTMENT!!,"$1,250",2022-08-08 10:57,/ 2br - 830ft2 -,2816 Kim Lane near Las Vegas Blvd & Kim
350,Spacious 1 Bedroom 1 Bath with Washer/ Dryer!!!  Apply Today!!!,"$1,210",2022-08-08 10:57,/ 1br - 680ft2 -,2900 El Camino Ave
351,"1 Bed, Onsite playground, Las Vegas NV","$1,446",2022-08-08 10:56,/ 1br - 717ft2 -,9155 West Desert Inn Road
352,LQQK! OFFICE SPACE AVAILABLE 4 SUITES IMPROVED NEW CARPET!,"$1,589",2022-08-08 11:00,/ 1849ft2 -,"3670 Rancho Rd. Las Vegas, NV 89130 near Rancho/Gowan"
353,Welcome Home!! Spacious 2x2,"$1,599",2022-07-20 11:29,/ 2br - 1060ft2 -,
354,Why pay$1500for an apartment when you can live Multi-Million$ mansion!,"$1,499",2022-08-08 10:35,/ 6br - 5200ft2 -,
355,Welcome to Budget Suites of America,$359,2022-08-04 09:51,/ 1br - 500ft2 -,8440 S. Las Vegas blvd near Wigwam/Windmill
356,LARGE ROOM TO RENT,,2022-08-08 10:55,,
357,$600 Luxury Young Professional Homeshare - Bed/Bath Available (las veg,,2022-07-30 09:35,,
358,"STOP, LOOK & RESERVE 2x2","$1,599",2022-07-12 12:53,/ 2br - 1060ft2 -,
359,DO NOT LOOK PAST THIS 1 BEDROOM TOWNHOME!!,"$1,160",2022-08-08 10:54,/ 1br - 730ft2 -,2816 Kim Lane near Las Vegas Blvd & Kim
